Ticker,Last Close,1W %,1M %,3M %,6M %
A,150.86000061035156,-1.7582684235273915,6.735534540203466,10.007411521004112,28.266071804919285
AA,49.970001220703125,0.04004095587223949,5.448553389859843,-38.081901282610986,-16.811490807934096
AAL,13.130000114440918,-2.233806283825968,-18.091082021104103,-3.2424435540048138,11.365565368307971
AAP,44.18000030517578,4.741583654646361,-23.72237275231207,-22.30088242656134,-13.033786364258248
AAPL,319.9700012207031,0.984691512414928,2.508224785715613,3.2185782822507822,23.147645598320597
AAT,22.040000915527344,-0.35755636503361754,-0.6230352502327836,-2.6123057512832624,15.87147162974421
AB,37.349998474121094,1.7156787376759937,2.8711226637220117,3.5965524662470076,1.2178401250538469
ABBV,256.4599914550781,0.015590837395777931,5.162585225722713,18.954280839296487,12.08444637898078
ABEV,3.0199999809265137,5.2264843675494195,0.33222559783854944,-3.5469505098188825,3.7200615828750996
ABG,217.25999450683594,2.771996584456389,0.5879850832783415,16.231541105873646,4.638052977679529
ABM,47.04999923706055,0.9007037515006616,-3.0895984007657367,20.842944416091143,7.856942851681121
ABNB,181.94000244140625,-0.6986130175575178,19.98153730791047,36.19283436554892,33.927121286082794
ABR,5.25,4.79041437432686,5.757180650727531,2.364973889607527,-32.59148370273059
ABT,108.33000183105469,-1.839433461462363,0.3427220727304053,25.41975427178392,-1.1283144122707307
ABUS,5.150000095367432,1.3779561557613005,13.436126401759466,18.390809385602434,9.574474560939487
ACA,145.4499969482422,0.10323048405645605,0.38649842014821534,17.52838058920955,30.808644239994514
ACAD,28.020000457763672,-3.0785174484464974,-1.5114245822303227,30.751283521896504,25.089289888131443
ACB,3.950000047683716,-2.469139218312053,32.55033632220623,15.497074841123998,12.857144219534739
ACCO,4.420000076293945,3.271024757540015,2.035905047090851,17.181859198645206,17.06604781485266
ACEL,11.880000114440918,2.0618536429497536,-3.3360443342938106,1.192507206577396,-2.5430637950246364
ACHC,28.1299991607666,2.068213736827546,-8.430990268486024,9.327631796458544,14.071367943332099
ACI,12.550000190734863,1.6194316039473313,3.8907307118973558,-18.909560413341207,-25.61232505119667
ACIU,2.859999895095825,8.333325054910777,23.275861094454353,19.665262324768587,4.761900187328882
ACLS,115.08000183105469,-0.21676926734660204,-15.791015112520446,-27.70902690738215,33.95413447271304
ACM,66.58000183105469,-1.2605642448081817,-11.143732070082907,-7.641183425740403,-28.425739679305874
ACN,186.72000122070312,-1.6020201170607113,9.122786835760909,6.501251752083026,-10.949697846798674
ACP,4.949999809265137,-2.3668709730421487,-0.6514801691074962,-1.3482282664464966,-0.3075504130586914
ACRE,4.570000171661377,0.0,-2.9723962919685034,-3.3507024682417716,-6.391843341269462
ACRS,6.170000076293945,1.9834691202630563,1.3136276141480792,39.592759497581945,97.75641995539127
ACT,49.27000045776367,2.2199163441651475,1.7239179487987273,22.033589711707553,20.23504594748447
ACVA,6.980000019073486,-0.7112402452720037,-6.30872217751118,20.137695143146765,29.020336708741155
ACWI,161.88999938964844,0.7530537521922402,1.118046981819263,2.7051821881395406,13.69087114519601
ACXP,1.4199999570846558,-2.0689716974136187,-2.7397315080268676,-18.857145309448242,-2.0689716974136187
ADBE,266.510009765625,-8.975715704883697,2.4093220744448813,4.0079690612914565,-5.405686447309245
ADC,72.62000274658203,0.5121145281412197,-4.537188172115804,1.8875605310191668,-8.464666748920846
ADDYY,86.55000305175781,-1.288774235270235,-8.84675530960076,-7.758711112896336,4.6854236922768
ADI,362.25,0.3351405457679557,-3.6988954935523606,-16.979987701783354,10.502527270465976
ADM,84.61000061035156,4.084142769630674,9.85293478154277,1.2329144384855888,28.826692235294882
ADMA,9.619999885559082,2.4494093059312956,-4.373762581556451,23.969067033716566,-38.72611463420546
ADNT,20.010000228881836,5.482345562317466,6.153845219825214,-10.749330237337293,-9.169316363154666
ADP,277.6199951171875,-2.9843473705730394,1.5026818781091085,22.821633009384186,26.644591811235625
ADPT,24.280000686645508,-2.5682158414488137,2.881357178746932,51.84490953215087,52.4168249937619
ADSK,217.89999389648438,-15.71577962892334,-10.13321532582269,-5.095823996518657,-17.499622169914
ADT,7.460000038146973,0.9472283210563357,-2.4836608477366724,12.93912135519259,12.542179702581842
ADTN,7.099999904632568,-8.387098004741054,-5.333334604899089,-59.56719749107614,-29.42346313636547
ADUS,118.76000213623047,3.566760297021442,-0.016835025485697874,34.207260711048555,13.515579256769229
ADV,31.450000762939453,-4.610252961741492,24.112078032989153,-12.784249680495313,107.59076933884748
ADX,26.1299991607666,0.9269979790502538,0.9269979790502538,4.776934832717377,17.944274449147223
AEE,106.47000122070312,0.4339204558089947,-1.6625062142537277,0.9324029049235736,-3.106698723654563
