AAPL
MSFT
GOOGL
AMZN
TSLA
NVDA
META
AMD
NFLX
INTC
PFE
MRNA
BNTX
JNJ
WMT
TGT
COST
KO
PEP
BAC
JPM
WFC
C
GS
MS
F
GM
NIO
PLTR
SOFI
HOOD
OPEN
RIVN
LCID
UBER
LYFT
DIS
MCD
SBUX
CVX
XOM
BP
SHEL
ENB.TO
SHOP.TO
TD.TO
RY.TO
BMO.TO
BNS.TO
CNQ.TO
SU.TO
CP.TO
CNR.TO
ATD.TO
AQN.TO
FTS.TO
BCE.TO
T.TO
QSR.TO
MG.TO
L.TO
DOL.TO
WCN.TO
TRP.TO
EMA.TO
AEM.TO
ABX.TO
K.TO
NTR.TO
WPM.TO
PAAS.TO
GOLD
SLV
GLD
SPY
QQQ
IWM
ARKK
ARKG
ARKF
ARKW
ARKX
PYPL
SQ
ROKU
CRM
ORCL
IBM
CSCO
TXN
QCOM
AVGO
MU
