Ticker,3M %,1M %,1W %,6M %
AMLX,158.33332550646065,40.96733245669416,1.0370325159143519,141.8439542663803
AGEN,155.90061173616186,10.013351440837685,8.278575907367522,182.1917656103744
EDRY,154.791472814952,92.58886952686241,16.490874632719315,179.6007679910141
ENTX,145.90163357762117,6.382981241783753,1.6949136104436064,143.9024352422197
CDNA,128.05917654003872,13.54608236732222,1.536620332039285,171.3600056966146
CRNX,121.62794910021715,129.96751517695023,0.11785324209710256,118.38044631367872
ETON,111.6986579892553,26.56994451424564,-3.292518049280916,239.03713189636812
ALOT,111.60584069141805,2.077465353918282,0.27672059539362437,221.75359638937434
ELF,110.94440205484433,18.806197670336093,0.5685420447840199,32.86890835048961
ARCT,108.15789333340862,160.1973666667608,7.181568086077764,118.20689234240302
AVAH,100.29497792729303,45.86465426029653,1.1922492287816349,87.0523346498242
ATRC,96.64121739507726,30.46340407186314,6.556364185490706,69.9769098170185
ANF,95.85187353454623,35.47247793376556,4.605812310284933,69.30994975733088
EMBC,75.05173413511709,66.04906860648197,12.840473567960103,-38.247496541123624
CSTE,74.70587913552792,34.99999837441881,3.1249968955915413,262.1951285995663
CBZ,70.0775146484375,0.660665781914555,0.660665781914555,87.9068087378913
CNET,69.33333079020181,-7.971015556898724,-8.633093957075221,71.62161683235146
BFLY,67.65376668237658,-11.325301633965788,-6.717360480859762,95.74468489845937
BLKB,67.55602081622307,1.5961989948815913,-1.9975090964176216,-4.462476261633763
CAKE,66.26240256611037,0.5228272378882824,-1.7444479586996735,72.10094408984526
CBRL,65.93944158419555,-6.063212847784802,-0.9956608165205943,78.3876933046453
AVTR,65.04962260992595,13.581183007636918,2.957361116258081,75.70421904599442
CELU,64.70588029049668,145.97362786928065,-9.189193194760591,39.99999006589293
BVS,64.56139626840076,0.6437779365870683,3.0769237218423284,54.61537478036672
EAT,64.13803667266133,1.2980142089959246,0.7527357639838621,63.997715638269106
ATAI,63.134647333675154,2.9247916875725677,0.6811949980692643,108.75706062486144
BDSX,62.608693694862374,18.461537797651026,-0.6263010532517707,65.06936237009118
CSTL,61.402652440096716,8.00787853312555,-0.36330286503062387,17.91472600263598
CRL,60.39362196682039,8.658803581329785,0.09020600001185806,59.11095761436434
BXC,60.003903480476595,-4.203751643022245,2.7376621629636047,31.696714367782384
CXW,59.880242046153796,7.661281877834327,4.485243254118081,88.74388383074444
DCTH,59.53533072557722,6.528760554452799,0.1215094706933433,81.49779384039819
APPN,59.41005159271141,26.175597252263888,-10.663566355525338,42.1637616053049
CLRO,57.58514311241208,-48.061223943647576,-2.303260742427213,11.378554953915309
CMMB,57.55813913193183,50.55556166319216,-0.3676467043408923,48.087430305723615
EPC,56.9369792509093,2.667140745435505,0.522289447998549,38.808701770191654
BMEA,56.15384968074834,62.39999771118164,20.833335402939117,48.17517987768083
CPIX,56.082289764003235,-11.588540187221918,1.494766872604722,148.75613738233153
CTRN,55.2694759307012,-1.2352523968792866,4.539450537885206,47.88031014472464
EOLS,54.22885351823965,25.50607803295466,2.31023140398063,64.31096186313594
COTY,54.21053176441358,7.720589556547583,2.807023326372626,22.083331263727693
AMWL,53.546095892966626,0.4640329816416592,8.521298925104698,131.55079254838685
